creator,video_title,link,upload_date,period,food_type,portion_size,views,food_quantity,calories
ErikTheElectric,"""ErikTheElectric takes on Shakespeares Pub and Grill's ""Great White Whale Food Challenge""",https://www.youtube.com/watch?v=B1T89Q4EWO4,"Jan 3, 2014",early,fish and chips,extreme,"16,919","2 lbs of fried cod, 2 lbs of fries, bowl of peas","5,400 (estimate)"
ErikTheElectric,"""ErikTheElectric takes on 35 IHOP Pancakes!""",https://www.youtube.com/watch?v=DRUVGlafeQQ,"Jan 10, 2014",early,pancakes,extreme,"63,465",8 lbs of pancakes,"8,000 (estimate)"
ErikTheElectric,"""ErikTheElectric takes on Nikky Rottens ""Ultimate Burger Challenge""",https://www.youtube.com/watch?v=ojoR8aK-XFY,"Oct 25, 2014",early,burger,extreme,"31,452","6.5 lb burger, 1.5 lbs of fries","8,500 (estimate)"
ErikTheElectric,"""ErikTheElectric takes on Guhan Grill's (Six Pound Fried Rice Challenge!)""",https://www.youtube.com/watch?v=Rm_fQ5cGrB0,"Nov 22, 2014",early,fried rice,extreme,"45,551",6 pounds of fried rice,"5,500 (estimate)"
ErikTheElectric,"""ErikTheElectric Takes on Citizen's Grill and Bar's ""24 Slider Challenge!""",https://www.youtube.com/watch?v=J0gTV2eEO3k,"Dec 7, 2014",early,sliders,extreme,"59,474",24 sliders,"5,500 (estimate)"
ErikTheElectric,"""ErikTheElectric takes on Oink and Moo's ""Triple Headed Monster"" Burger Challenge!""",https://www.youtube.com/watch?v=uveJQDWbDG0,"Dec 19, 2014",early,burger,extreme,"31,299",4 sets of buns 8 patties (4 habanero patties.. SO spicy) 1 whole pulled pork sandwich 1 Mac and cheese fritter on top 5 fried eggs Onion Rings mountain of lettuce/tomato/onion 2 pickles 12 slices of bacon 12 slices of cheese One whole Kielbasa Sausage 21 oz soft drink (must be finished) 2 POUNDS of waffle fries (Well over 7 pounds of food),"10,000+ (estimate)"
ErikTheElectric,"""Day of Wreckoning"" (15,000 Calorie Challenge)""",https://www.youtube.com/watch?v=mZTpGQy0Qao,"Jan 1, 2015",early,various,extreme,"243,279","Bacon, Egg, Cheese Sausage Breakfast Sandwich Bacon + Sausage Breakfast Burrito Medium Tater Tot French Toaster /w Sausage 4 Tablespoons Ketchup  Meal Macros/Calories: 2,020 kcals / 96g Fat / 212g Carbs / 88g Protein / 8g Fiber / 6,140mg Sodium Total Macros/Calories: 2,020 kcals / 96g Fat / 212g Carbs / 88g Protein / 8g Fiber / 6,140mg Sodium  Meal 2 (2:30 p.m - Post Training/Ride): 5 Frozen Buttermilk Waffles 180g Cinnamon Toast Crunch 16 oz 2% milk ¼ Cup Maple Syrup 32g Natty Peanut Butter 17 McDonalds McNuggets 1 Tablespoon Ranch Dressing 1 Container BBQ Sauce 6 Kroger Mini Donuts (crunch) 1 Serving Reese’s Peanut Butter Chips  Meal Macros/Calories: 3,378 kcals / 155g Fat / 421g Carbs / 47g Protein / 23g Fiber / 5,000 mg Sodium  Total Macros/Calories: 5,398kcals/251g Fat/633g Carbs/135g Protein/31g Fiber/11,140mg Sodium Meal 3 + Meal 4/Snack (4:00 p.m/6:00 p.m) 1 Slice Costco Pizza 1 Large Churro 1 Packet Parmesan Cheese 1 Waffle Bowl 1 “Love it” size, “Peanut Butter Cup Perfection” (Cold Stone Creamery)  Total Meal Calories: 2,361 kcals / 120g fat/ 268g Carbs/68g Protein/11g Fiber/2,505mg Sodium  TOTAL CALORIES FOR THE DAY: 7,759kcals/371g Fat/901g Carbs/203g Protein/42g Fiber/13,645mg Sodium Meal 5 (9:00 p.m) 1 Whole Rotisserie Chicken 5 Pieces McDonalds Nuggets 1 Order Small Mcdonalds Fries 150g Farfalle (Dry) 1 tablespoon ranch dressing 1 Bag Honey Nut Chex Mix 4 tablespoons Ketchup (Round two) 1 Whole Sleeve Ritz Crackers 2 oz raw cashews 64g Natty Peanut butter 5 whole eggs (4 oz milk) (14g Mozzarella Cheese) 3 Slices Cinnamon Raisin Bread (3 Tablespoons Butter) 16 g Peanut Butter 2 Tablespoons Ketchup  Total Meal Calories: 5,776 kcals/234g Fat/561g Carbs/346g Protein/34g Fiber/6,405mg Sodium  TOTAL CALORIES FOR THE DAY: 13,535kcals/605g Fat/1,462g Carbs/549g Protein/76g Fiber/20,050mg Sodium Meal 6 (12:15 A.M) 120g Cinnamon Toast Crunch 8oz 2% Milk 2oz Raw Cashews 1 Whole Apple Crumb Muffin (Costco)","15,000"
ErikTheElectric,"""The Day of Glory"" (25,000 Calorie Cheat Day)""",https://www.youtube.com/watch?v=L5onEm1_LX4,"Jan 19, 2015",early,various,extreme,"553,787",,"25,000"
ErikTheElectric,"""THE SUPERCHARGED IHOP MENU CHALLENGE! (MAN VS BREAKFAST)""",https://www.youtube.com/watch?v=6JvmS5d6Qgg,"Jan 25, 2020",mid,breakfast,extreme,"510,694",,
ErikTheElectric,"""THE ALL AMERICAN SUPER BOWL CHEAT MEAL! (13,000+ CALORIES)""",https://www.youtube.com/watch?v=05SfoMRlkzE,"Jan 31, 2020",mid,various,extreme,"830,810","brownies, burgers, pizza and MORE! ","13,000"
ErikTheElectric,"""THE KOBE BRYANT DIET CHALLENGE! (FOOD CHALLENGE TRIBUTE)""",https://www.youtube.com/watch?v=nOztW6SAZyI,"Feb 5, 2020",mid,various,extreme,"580,626","32oz Grass-fed Beef 12 Free Range Eggs 1 Container of Oats (with Blue Agave) 4 Cups Chocolate Almond Milk Pudding 1 Spinach Salad 16oz Kombucha 1 Bottle Green Tea 32oz Powerade Zero Sugar Grass-fed ""Organic"" Milk Cheese & Meat Board 3 Organic Apples 1 Container of Hummus 1 Container Mixed Nuts",10000 (estimate)
